,Hostname,Port,Name,Status,Vlan,Duplex,Speed,Type
186,DC-DIST7-1,port-channel31,UCS 4-14 Link #2 (Fabric B),noOperMembers,trunk,auto,auto,--
187,DC-DIST7-1,port-channel32,*** vPC to WAL-WWTO-SW1 ***,noOperMembers,trunk,auto,auto,--
188,DC-DIST7-1,port-channel40,UCS 4-8 Link #1 (Fabric A),connected,trunk,full,10G,--
189,DC-DIST7-1,port-channel41,UCS 4-8 Link #1 (Fabric B),connected,trunk,full,10G,--
190,DC-DIST7-1,port-channel42,BL-452L,noOperMembers,trunk,auto,auto,--
191,DC-DIST7-1,port-channel54,DC-SAS4,connected,trunk,full,10G,--
192,DC-DIST7-1,port-channel60,CALA-MOB-NetScaler-Internal-8-13-1,connected,trunk,full,10G,--
193,DC-DIST7-1,port-channel61,CALA-MOB-NetScaler-Internal-8-13-2,connected,trunk,full,10G,--
194,DC-DIST7-1,port-channel68,WWTO EDIT,noOperMembers,trunk,auto,auto,--
195,DC-DIST7-1,port-channel70,UCS 14-9 link #1(Fabric A),connected,trunk,full,10G,--
196,DC-DIST7-1,port-channel71,UCS 14-9 link #1(Fabric B),connected,trunk,full,10G,--
197,DC-DIST7-1,port-channel104,--,disabled,trunk,auto,auto,--
198,DC-DIST7-1,port-channel111,us-west-1b-ucs-esx1-A,connected,trunk,full,10G,--
199,DC-DIST7-1,port-channel113,--,connected,trunk,full,10G,--
200,DC-DIST7-1,port-channel115,--,connected,trunk,full,10G,--
201,DC-DIST7-1,port-channel119,--,connected,trunk,full,10G,--
202,DC-DIST7-1,port-channel123,--,noOperMembers,1,auto,auto,--
203,DC-DIST7-1,port-channel128,--,noOperMembers,1,auto,auto,--
204,DC-DIST7-1,port-channel129,--,connected,trunk,full,10G,--
205,DC-DIST7-1,port-channel131,--,connected,trunk,full,10G,--
206,DC-DIST7-1,port-channel200,--,disabled,trunk,auto,auto,--
207,DC-DIST7-1,port-channel206,--,connected,trunk,full,a-1000,--
208,DC-DIST7-1,port-channel207,--,connected,trunk,full,10G,--
209,DC-DIST7-1,port-channel208,--,connected,trunk,full,10G,--
210,DC-DIST7-1,port-channel209,--,connected,trunk,full,10G,--
211,DC-DIST7-1,port-channel240,downlink to ql-us-laqum02-smb.mtvn.ad.viacom.com,connected,trunk,full,10G,--
212,DC-DIST7-1,port-channel682,--,connected,trunk,full,10G,--
213,DC-DIST7-1,port-channel725,--,connected,trunk,full,a-1000,--
214,DC-DIST7-1,port-channel813,us-west-1b-ucs-mtl1 FI-A,connected,trunk,full,10G,--
215,DC-DIST7-1,port-channel824,us-west-1b-ucs-mtl1 FI-B,connected,trunk,full,10G,--
216,DC-DIST7-1,port-channel899,--,noOperMembers,trunk,auto,auto,--
217,DC-DIST7-1,port-channel4095,--,connected,trunk,full,10G,--
218,DC-DIST7-1,loopback0,--,disabled,routed,auto,auto,--
219,DC-DIST7-1,loopback10,--,connected,routed,auto,auto,--
220,DC-DIST7-1,Vlan1,--,down,routed,auto,auto,--
221,DC-DIST7-1,Vlan7,--,connected,routed,auto,auto,--
222,DC-DIST7-1,Vlan8,--,connected,routed,auto,auto,--
