,Hostname,Port,Name,Status,Vlan,Duplex,Speed,Type,CDP_local_int,CDP_remote_device,CDP_remote_int,CDP_remote_platform,CDP_remote_capabilities,CDP_remote_ip,LLDP_local_port_id,LLDP_remote_chassis_id,LLDP_remote_port_id,LLDP_remote_port_description,LLDP_remote_system_name,LLDP_remote_system_description,LLDP_remote_system_capabilities,LLDP_remote_system_address,LLDP_remote_vlan_id
98,DC-ACS5-2,Ethernet100/1/27,DD-ISILON-NODE6 NIC1,notconnect,888,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
99,DC-ACS5-2,Ethernet100/1/28,DD-ISILON-NODE3 NIC1,notconnect,888,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
100,DC-ACS5-2,Ethernet100/1/29,DD-ISILON-NODE4 NIC1,notconnect,888,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
101,DC-ACS5-2,Ethernet100/1/30,DD-ISILON-NODE5 NIC1,notconnect,888,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
102,DC-ACS5-2,Ethernet100/1/31,hxappd03,notconnect,831,full,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
103,DC-ACS5-2,Ethernet100/1/32,NXDTMP01 NIC-1,notconnect,850,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
104,DC-ACS5-2,Ethernet100/1/33,NXDTMP01 NIC-2,notconnect,850,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
105,DC-ACS5-2,Ethernet100/1/34,NXDTMP02 NIC-1,notconnect,850,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
106,DC-ACS5-2,Ethernet100/1/35,NXDTMP02 NIC-2,linkFlapErr,751,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
107,DC-ACS5-2,Ethernet100/1/36,PPCDBD1,notconnect,831,full,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
108,DC-ACS5-2,Ethernet100/1/37,NXPHRP01,notconnect,781,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
109,DC-ACS5-2,Ethernet100/1/38,VNX Mgmt 1,notconnect,850,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
110,DC-ACS5-2,Ethernet100/1/39,VNX Mgmt 2,notconnect,850,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
111,DC-ACS5-2,Ethernet100/1/40,BMSIFIXSCADA NIC2,notconnect,882,full,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
112,DC-ACS5-2,Ethernet100/1/41,DD-ISILON-NODE2 NIC2,notconnect,889,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
113,DC-ACS5-2,Ethernet100/1/42,DD-ISILON-NODE1 NIC2,notconnect,889,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
114,DC-ACS5-2,Ethernet100/1/43,DD-ISILON-ACC1 NIC2,notconnect,889,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
115,DC-ACS5-2,Ethernet100/1/44,BMSALCLONSQD NIC2,notconnect,882,full,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
116,DC-ACS5-2,Ethernet100/1/45,EMC-CENT-AN1,notconnect,686,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
117,DC-ACS5-2,Ethernet100/1/46,EMC-CENT-AN2,notconnect,850,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
118,DC-ACS5-2,Ethernet100/1/47,EMC-CENT-AN3,notconnect,850,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
119,DC-ACS5-2,Ethernet100/1/48,EMC-CENT-AN4,notconnect,850,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
120,DC-ACS5-2,Ethernet101/1/1,*** For single-homed servers ***,notconnect,682,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
121,DC-ACS5-2,Ethernet101/1/2,*** For single-homed servers ***,notconnect,682,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
122,DC-ACS5-2,Ethernet101/1/3,*** For single-homed servers ***,notconnect,682,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
123,DC-ACS5-2,Ethernet101/1/4,*** For single-homed servers ***,notconnect,682,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
124,DC-ACS5-2,Ethernet101/1/5,PURE-STORAGE,connected,850,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
125,DC-ACS5-2,Ethernet101/1/6,PURE-STORAGE,connected,850,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
126,DC-ACS5-2,Ethernet101/1/7,*** For single-homed servers ***,notconnect,853,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
127,DC-ACS5-2,Ethernet101/1/8,*** For single-homed servers ***,notconnect,853,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
128,DC-ACS5-2,Ethernet101/1/9,*** For single-homed servers ***,connected,898,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
129,DC-ACS5-2,Ethernet101/1/10,*** For single-homed servers ***,connected,898,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
130,DC-ACS5-2,Ethernet101/1/11,NXDTMP01 MGMT Port(0),connected,899,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
131,DC-ACS5-2,Ethernet101/1/12,NXDTMP02 MGMT Port(0),notconnect,853,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
132,DC-ACS5-2,Ethernet101/1/13,DD-ISILON-NODE6 NIC2,notconnect,889,auto,auto,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
133,DC-ACS5-2,Ethernet101/1/14,BMSIFIXSCADA NIC4,notconnect,800,full,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
134,DC-ACS5-2,Ethernet101/1/15,--,connected,899,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
135,DC-ACS5-2,Ethernet101/1/16,BMSALCLONSQD NIC4,unknown enum:<248>,800,full,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
136,DC-ACS5-2,Ethernet101/1/17,--,connected,899,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
137,DC-ACS5-2,Ethernet101/1/18,PURE-STORAGE,notconnect,850,full,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
138,DC-ACS5-2,Ethernet101/1/19,PURE-STORAGE,notconnect,850,full,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
