,Hostname,Port,Name,Status,Vlan,Duplex,Speed,Type
146,DC-ACS5-2,Ethernet103/1/41,nxELMP03,connected,500,full,1000,--
147,DC-ACS5-2,Ethernet103/1/42,--,connected,500,full,1000,--
148,DC-ACS5-2,Ethernet103/1/43,msmblp01,connected,298,full,1000,--
149,DC-ACS5-2,Ethernet103/1/44,MSMBXP03,notconnect,847,auto,auto,--
150,DC-ACS5-2,Ethernet103/1/45,MSMBXP01,connected,500,full,1000,--
151,DC-ACS5-2,Ethernet103/1/46,nxELMD02 NIC1 TSK SEP282012,notconnect,682,auto,auto,--
152,DC-ACS5-2,Ethernet103/1/47,nxELMP02 NIC1 TSK SEP282012,connected,682,full,1000,--
153,DC-ACS5-2,Ethernet103/1/48,nxELMP01 NIC1 TSK SEP28 2012,connected,898,full,1000,--
154,DC-ACS5-2,Ethernet106/1/1,--,connected,80,full,1000,--
155,DC-ACS5-2,Ethernet106/1/2,***MOB-ISILON***,connected,80,full,1000,--
156,DC-ACS5-2,Ethernet106/1/3,***MOB-ISILON***,connected,80,full,1000,--
157,DC-ACS5-2,Ethernet106/1/4,***MOB-ISILON***,connected,80,full,1000,--
158,DC-ACS5-2,Ethernet106/1/5,***MOB-ISILON***,connected,80,full,1000,--
159,DC-ACS5-2,Ethernet106/1/6,--,connected,80,full,1000,--
160,DC-ACS5-2,Ethernet106/1/7,***SMARTJOG-SERVER-10.40.4.6***,connected,80,full,1000,--
161,DC-ACS5-2,Ethernet106/1/8,--,connected,67,full,1000,--
162,DC-ACS5-2,Ethernet106/1/9,--,connected,881,full,1000,--
163,DC-ACS5-2,Ethernet106/1/10,***msADS02******Please Do Not Modify Ports***,connected,67,full,1000,--
164,DC-ACS5-2,Ethernet106/1/11,INC06744051,connected,3165,full,1000,--
165,DC-ACS5-2,Ethernet106/1/12,--,connected,881,full,1000,--
166,DC-ACS5-2,Ethernet106/1/13,--,connected,881,full,1000,--
167,DC-ACS5-2,Ethernet106/1/14,--,connected,881,full,1000,--
168,DC-ACS5-2,Ethernet106/1/15,--,connected,881,full,1000,--
169,DC-ACS5-2,Ethernet106/1/16,--,connected,881,full,1000,--
170,DC-ACS5-2,Ethernet106/1/17,***AVID SERVERS******Please Do Not Modify Ports***,notconnect,682,auto,auto,--
171,DC-ACS5-2,Ethernet106/1/18,***SHVR3PRDAP02******Please Do Not Modify Ports***,notconnect,883,auto,auto,--
172,DC-ACS5-2,Ethernet106/1/19,FIDELISSENSORPARA2-idrac,notconnect,860,auto,auto,--
173,DC-ACS5-2,Ethernet106/1/20,ANI-MOB-ISIS,notconnect,682,auto,auto,--
174,DC-ACS5-2,Ethernet106/1/21,***msISAp01******Please Do Not Modify Ports***,connected,850,full,1000,--
175,DC-ACS5-2,Ethernet106/1/22,***msISAp01******Please Do Not Modify Ports***,connected,850,full,1000,--
176,DC-ACS5-2,Ethernet106/1/23,***DL-BL-LINDBERG******Please Do Not Modify Ports***,connected,881,full,1000,--
177,DC-ACS5-2,Ethernet106/1/24,***tsMSTp01 nic1******Please Do Not Modify Ports***,connected,882,full,1000,--
178,DC-ACS5-2,Ethernet106/1/25,***nxEAId01 slot3******Please Do Not Modify Ports***,connected,900,full,1000,--
179,DC-ACS5-2,Ethernet106/1/26,--,connected,900,full,1000,--
180,DC-ACS5-2,Ethernet106/1/27,EMPTY_PORT_valid_on_MAY-15-2024,notconnect,1,auto,auto,--
181,DC-ACS5-2,Ethernet106/1/28,ibatlp02-NIC2,notconnect,822,auto,auto,--
182,DC-ACS5-2,Ethernet106/1/29,HP-3PAR-STORAGE,notconnect,851,auto,auto,--
183,DC-ACS5-2,Ethernet106/1/30,HP-3PAR-STORAGE,notconnect,851,auto,auto,--
184,DC-ACS5-2,Ethernet106/1/31,--,connected,881,full,1000,--
185,DC-ACS5-2,Ethernet106/1/32,Zoltn_Avigilon-NVR-srvr_2018-06-11,connected,526,full,1000,--
186,DC-ACS5-2,Ethernet106/1/33,EMPTY_PORT_valid_on_MAY-15-2024,notconnect,1,auto,auto,--
187,DC-ACS5-2,Ethernet106/1/34,--,connected,881,full,1000,--
188,DC-ACS5-2,Ethernet106/1/35,--,connected,881,full,1000,--
189,DC-ACS5-2,Ethernet106/1/36,--,connected,881,full,1000,--
190,DC-ACS5-2,Ethernet106/1/37,--,inactive,1438,full,auto,--
191,DC-ACS5-2,Ethernet106/1/38,--,notconnect,1,auto,auto,--
192,DC-ACS5-2,Ethernet106/1/39,--,notconnect,1,auto,auto,--
193,DC-ACS5-2,Ethernet106/1/40,EMPTY_PORT_valid_on_MAY-15-2024,notconnect,1,auto,auto,--
194,DC-ACS5-2,Ethernet106/1/41,*** For single-homed servers ***,notconnect,898,auto,auto,--
195,DC-ACS5-2,Ethernet106/1/42,--,notconnect,898,auto,auto,--
196,DC-ACS5-2,Ethernet106/1/43,--,notconnect,898,auto,auto,--
197,DC-ACS5-2,Ethernet106/1/44,*** For single-homed servers ***,notconnect,879,auto,auto,--
198,DC-ACS5-2,Ethernet106/1/45,--,notconnect,1,auto,auto,--
199,DC-ACS5-2,Ethernet106/1/46,--,notconnect,881,auto,auto,--
